,Length(cm)
1,31.4407227663323
2,28.5775511068283
3,30.9613012472581
4,27.9774972340993
5,32.0875487686699
6,28.7910536334957
7,30.2650458308967
8,30.5111704736751
9,26.4449548645487
10,32.5874379617013
11,27.7492560348877
12,34.1853888596659
13,32.0169919980483
14,28.2876542663192
15,30.7152601290146
16,28.4207035580057
17,30.646887078006
18,30.1886228967454
19,27.5186851975003
20,30.1925708422152
21,28.2214987579556
22,28.1928192170643
23,28.4516353676298
24,28.2130128083225
25,29.336212810139
26,30.1273431733237
27,26.9030499771707
28,32.1097969131115
29,30.0925029205306
30,25.4477126362939
31,28.6051693287417
32,29.4320371808445
33,28.1519718881401
34,26.9220788923741
35,27.9933636381205
36,28.9780558372845
37,26.2870213983987
38,27.483998961399
39,24.9623451098565
40,24.7235567212905
41,27.4846346312665
42,24.4749457585791
43,28.9301592086877
44,26.1577614161246
45,25.6261223044023
46,29.6597582309826
47,27.3373312258028
48,28.2963949294732
49,28.5488255670903
50,21.4299154629795
51,19.9712054599896
52,20.9654736671459
53,17.1623050760287
54,20.6015070190061
55,19.9354427849332
56,17.8852100500888
57,26.3118933136384
58,24.1571123618801
59,29.7307841616978
60,29.2032523175971
61,30.6211775699501
62,30.6268399599549
63,32.4266518151409
64,25.7658308382448
65,25.289539250894
66,26.7899578321074
67,25.9877180881997
68,27.5230363107927
69,26.3038394865815
70,26.9879289117983
71,27.7730832253948
72,30.1419776454036
73,32.6965903666643
74,33.8163448247692
75,32.0735178042132
76,27.2351599293942
77,26.5807899947273
78,26.3718381309188
79,29.8694626724985
80,32.7788681880772
81,34.9534500134742
82,30.4739410246237
83,30.078103287199
84,30.8014617295678
85,33.9894905453586
86,33.0183388397871
87,31.0397130735653
88,33.0270956193911
89,33.2913263649253
90,28.9331652486476
91,32.2668765754767
92,28.960593029435
93,31.2837009497846
94,27.0377266854455
95,30.1005322730005
96,31.261552842298
97,30.5168218829747
98,34.8237187099224
99,35.3595577963239
100,35.4217215819017
101,30.2962478885955
102,33.1787928499077
103,29.6140566731363
104,29.3035406397499
105,23.4156392100378
106,26.0928604720833
107,26.8951054431995
108,27.8174334113978
109,26.8008029280851
110,27.5679091489525
111,27.0070249377689
112,30.3146731647898
113,25.984332130325
114,21.4666146610514
115,25.9572551748402
116,31.5471391368767
117,29.2415158931354
118,30.7010419553689
119,23.770658093885
120,25.3018590514469
121,19.5112131637669
122,21.0869213574199
123,22.1930762507132
124,23.2094012661172
125,23.4028546480964
126,23.3093464016776
127,23.3301420867964
128,28.9372083223052
