n,Dataset,old_n,age,age(old),genotype,strain,name,shape,size,VoxelSizeX,VoxelSizeY,VoxelSizeZ,re-uCT scan,Comments,Phantom,Scaling Value,Arb Value,angle,center
1,EK,40,24,2 year,wt,wt,fli:gfp,"(2000, 640, 640)",819200000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,185,
2,EK,41,24,2 year,wt,wt,fli:gfp,"(2000, 644, 644)",829472000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,47,
3,EK,42,24,2 year,wt,wt,fli:gfp,"(2000, 634, 634)",803912000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,262,
4,EK,43,24,2 year,wt,wt,fli:gfp,"(2000, 620, 620)",768800000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,238,
5,EK,44,24,2 year,wt,wt,wt,"(2000, 596, 634)",755728000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,329,
6,EK,45,24,2 year,wt,wt,wt,"(2000, 634, 634)",803912000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,15,
7,EK,46,24,2 year,wt,wt,wt,"(2000, 614, 614)",753992000,0.020081640692724,0.020081640692724,0.020081640692724,,,LONDON AB,LONDON AB,LONDON AB,34,
8,EK,47,24,2 year,wt,wt,wt,"(1999, 630, 630)",793403100,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,283,
9,EK,48,24,2 year,wt,wt,wt,"(1999, 624, 624)",778362624,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,113,
10,EK,49,24,2 year,wt,wt,wt,"(1999, 634, 634)",803510044,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,252,
11,EK,50,24,2 year,wt,wt,wt,"(1999, 640, 640)",818790400,0.02061989535007,0.02061989535007,0.02061989535007,,shg+histology,LONDON AB,LONDON AB,LONDON AB,251,
12,EK,51,24,2 year,wt,wt,wt,"(1999, 630, 630)",793403100,0.02061989535007,0.02061989535007,0.02061989535007,,shg+histology,LONDON AB,LONDON AB,LONDON AB,76,
13,EK,52,24,2 year,wt,wt,wt,"(1999, 670, 670)",897351100,0.02061989535007,0.02061989535007,0.02061989535007,,shg+histology,LONDON AB,LONDON AB,LONDON AB,104,
14,EK,53,24,2 year,wt,wt,wt,"(1999, 670, 670)",897351100,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,179,
15,EK,54,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 624, 624)",767849472,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,70,
16,EK,55,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 604, 604)",719417152,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,296,
17,EK,56,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 630, 630)",782686800,0.02061989535007,0.02061989535007,0.02061989535007,,Loading rig Elis no deffect,LONDON AB,LONDON AB,LONDON AB,164,
18,EK,57,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 610, 610)",733781200,0.02061989535007,0.02061989535007,0.02061989535007,,loading rig Elis deffect,LONDON AB,LONDON AB,LONDON AB,53,
19,EK,58,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 620, 580)",709131200,0.02061989535007,0.02061989535007,0.02061989535007,,5um resolution for comparison,LONDON AB,LONDON AB,LONDON AB,96,
20,EK,59,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 610, 610)",733781200,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,302,
21,EK,60,18,1.5 year,wt,wt,wnt11:cfp,"(1972, 614, 614)",743436112,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,341,
22,EK,61,18,1.5 year,wt,wt,wnt11:cfp,"(1999, 634, 634)",803510044,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,273,
23,EK,62,18,1.5 year,wt,wt,wnt11:cfp,"(1999, 644, 644)",829057264,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,87,
