,genotype,Otoliths,Density ($g.cm^{3}HA$)
0,$col11a2$ -/- 6(m),Lagenal,1.5059630813086002
1,$col11a2$ -/- 6(m),Lagenal,1.4194756432737368
2,$col11a2$ -/- 6(m),Lagenal,1.460073456893872
3,$col11a2$ -/- 6(m),Lagenal,1.5263001542721892
4,$col11a2$ -/- 6(m),Lagenal,1.4864125311587844
5,$col11a2$ -/- 6(m),Lagenal,1.4777274910211007
6,$col11a2$ -/- 6(m),Lagenal,1.4368308816079263
7,$col11a2$ -/- 6(m),Lagenal,1.442121662277534
8,$col11a2$ -/- 6(m),Lagenal,1.4785924412210312
9,$col11a2$ -/- 6(m),Lagenal,1.4333745370436182
10,wt 6(m),Lagenal,1.8179325347368323
11,wt 6(m),Lagenal,1.7980274573344674
12,wt 6(m),Lagenal,1.612517806342297
13,wt 6(m),Lagenal,1.8580440592174354
14,wt 6(m),Lagenal,1.8878388487572368
15,wt 6(m),Lagenal,1.7289542576599932
16,wt 6(m),Lagenal,1.739821927033704
17,wt 6(m),Lagenal,1.7257691400124733
18,wt 6(m),Lagenal,1.64711438935071
19,wt 6(m),Lagenal,1.6829082252864835
20,wt 6(m),Lagenal,1.6391866135043014
21,wt 6(m),Lagenal,1.7497978630198125
22,wt 6(m),Lagenal,1.7817533806791461
23,wt 6(m),Lagenal,1.7613253171519736
24,wt 6(m),Lagenal,1.7597705691205001
25,wt 6(m),Lagenal,1.7106577081362295
26,wt 6(m),Lagenal,1.6704380040580233
27,wt 6(m),Lagenal,1.757394392069721
28,wt 6(m),Lagenal,1.7549153691581505
29,$col11a2$ -/- 6(m),Saccular,1.0293663006251588
30,$col11a2$ -/- 6(m),Saccular,0.9561342639827214
31,$col11a2$ -/- 6(m),Saccular,1.1763284737254902
32,$col11a2$ -/- 6(m),Saccular,1.0631029558651683
33,$col11a2$ -/- 6(m),Saccular,1.0136769942778416
34,$col11a2$ -/- 6(m),Saccular,1.0574469922416918
35,$col11a2$ -/- 6(m),Saccular,1.114099008
36,$col11a2$ -/- 6(m),Saccular,1.0788138607304347
37,$col11a2$ -/- 6(m),Saccular,0.9586474919355782
38,$col11a2$ -/- 6(m),Saccular,1.0319715207554807
39,wt 6(m),Saccular,1.366481526190185
40,wt 6(m),Saccular,1.3126494803639626
41,wt 6(m),Saccular,1.7690737773708727
42,wt 6(m),Saccular,1.8361896314946236
43,wt 6(m),Saccular,1.142093880876197
44,wt 6(m),Saccular,1.0670318484895116
45,wt 6(m),Saccular,1.2220827753238905
46,wt 6(m),Saccular,1.1318548102296355
47,wt 6(m),Saccular,1.1166440715765518
48,wt 6(m),Saccular,1.1714503700312826
49,wt 6(m),Saccular,0.8397655032893048
50,wt 6(m),Saccular,1.1655985351338993
51,wt 6(m),Saccular,1.3089688493568474
52,wt 6(m),Saccular,1.4294457330380683
53,wt 6(m),Saccular,1.3731659340379887
54,wt 6(m),Saccular,1.3149772649878038
55,wt 6(m),Saccular,1.1219076246593138
56,wt 6(m),Saccular,1.3592669652868143
57,wt 6(m),Saccular,1.0684129998618455
58,$col11a2$ -/- 6(m),Utricular,1.476062074236433
59,$col11a2$ -/- 6(m),Utricular,1.5159482270510578
60,$col11a2$ -/- 6(m),Utricular,1.5197529332436137
61,$col11a2$ -/- 6(m),Utricular,1.6389793524844185
62,$col11a2$ -/- 6(m),Utricular,1.4882582812246135
63,$col11a2$ -/- 6(m),Utricular,1.521471080110599
64,$col11a2$ -/- 6(m),Utricular,1.509947875352673
65,$col11a2$ -/- 6(m),Utricular,1.5441555760551724
66,$col11a2$ -/- 6(m),Utricular,1.4938362135076435
67,$col11a2$ -/- 6(m),Utricular,1.645458974744286
68,wt 6(m),Utricular,1.9740648152954041
69,wt 6(m),Utricular,1.8963094720592841
70,wt 6(m),Utricular,1.9051831930351064
71,wt 6(m),Utricular,2.0611056507748464
72,wt 6(m),Utricular,1.8997340243898628
73,wt 6(m),Utricular,1.9960341656636624
74,wt 6(m),Utricular,1.8403824523117618
75,wt 6(m),Utricular,1.9371323749712495
76,wt 6(m),Utricular,1.729564922961433
77,wt 6(m),Utricular,1.7631921359222864
78,wt 6(m),Utricular,1.755310802877559
79,wt 6(m),Utricular,1.7959733565888576
80,wt 6(m),Utricular,1.9606536663543468
81,wt 6(m),Utricular,1.9798577770897947
82,wt 6(m),Utricular,1.9815826522724929
83,wt 6(m),Utricular,1.8927128260094788
84,wt 6(m),Utricular,1.9101545722751605
85,wt 6(m),Utricular,1.9549495381339304
86,wt 6(m),Utricular,1.8329021038592286
