,Length(cm)
1,31.440722766332325
2,28.577551106828327
3,30.961301247258124
4,27.97749723409934
5,32.087548768669905
6,28.791053633495743
7,30.265045830896707
8,30.51117047367507
9,26.444954864548727
10,32.58743796170129
11,27.74925603488774
12,34.185388859665885
13,32.016991998048304
14,28.28765426631918
15,30.71526012901465
16,28.420703558005716
17,30.646887078005957
18,30.188622896745425
19,27.518685197500332
20,30.19257084221523
21,28.221498757955594
22,28.192819217064347
23,28.45163536762984
24,28.213012808322457
25,29.336212810138996
26,30.127343173323712
27,26.903049977170696
28,32.1097969131115
29,30.092502920530602
30,25.44771263629395
31,28.605169328741678
32,29.432037180844514
33,28.151971888140057
34,26.9220788923741
35,27.9933636381205
36,28.978055837284522
37,26.28702139839866
38,27.483998961399003
39,24.962345109856532
40,24.723556721290493
41,27.48463463126648
42,24.474945758579093
43,28.93015920868772
44,26.15776141612458
45,25.626122304402266
46,29.659758230982582
47,27.33733122580277
48,28.29639492947318
49,28.54882556709028
50,21.42991546297946
51,19.971205459989594
52,20.965473667145883
53,17.162305076028726
54,20.60150701900613
55,19.935442784933212
56,17.88521005008875
57,26.311893313638375
58,24.157112361880078
59,29.73078416169782
60,29.203252317597126
61,30.621177569950138
62,30.62683995995491
63,32.42665181514093
64,25.765830838244813
65,25.289539250894048
66,26.78995783210738
67,25.987718088199742
68,27.523036310792687
69,26.303839486581477
70,26.987928911798264
71,27.773083225394807
72,30.141977645403564
73,32.69659036666426
74,33.816344824769196
75,32.07351780421318
76,27.235159929394214
77,26.58078999472727
78,26.37183813091882
79,29.869462672498496
80,32.7788681880772
81,34.953450013474175
82,30.47394102462367
83,30.078103287198974
84,30.80146172956785
85,33.989490545358606
86,33.01833883978714
87,31.039713073565277
88,33.02709561939106
89,33.291326364925304
90,28.93316524864758
91,32.26687657547673
92,28.960593029435014
93,31.283700949784574
94,27.037726685445516
95,30.10053227300055
96,31.26155284229797
97,30.5168218829747
98,34.82371870992237
99,35.35955779632392
100,35.421721581901714
101,30.29624788859551
102,33.178792849907715
103,29.61405667313633
104,29.30354063974993
105,23.415639210037803
106,26.092860472083338
107,26.89510544319946
108,27.817433411397754
109,26.80080292808511
110,27.567909148952545
111,27.007024937768918
112,30.314673164789763
113,25.98433213032502
114,21.46661466105136
115,25.957255174840185
116,31.547139136876737
117,29.24151589313542
118,30.701041955368865
119,23.770658093884965
120,25.3018590514469
121,19.511213163766893
122,21.08692135741995
123,22.193076250713222
124,23.209401266117244
125,23.402854648096426
126,23.30934640167761
127,23.330142086796354
128,28.93720832230519
129,27.54300271549453
130,25.93015166914549
131,32.96023585211702
132,36.95293411258298
133,30.705788735113703
134,31.312515808097327
135,29.892682089390178
136,29.346826731205425
137,28.343876907615908
138,27.045909773874193
139,26.42779178927669
