fish,relax_time(s),error(s),Fusion,Fragmentation
1,0.747852841095988,0.0129155547694427,Yes,No
2,0.525500670399339,0.00693928757500157,Yes,No
3,0.481997573567055,0.0131776092469703,Yes,Yes
4,0.704835327147754,0.0159765081672111,No,No
5,0.532496621681745,0.022500102161071,Yes,No
6,0.478283806723968,0.0116720149567859,Yes,Yes
7,0.417754977336271,0.00681407119461922,Yes,No
8,0.761957977200043,0.0088297595699519,Yes,No
9,0.428462258465001,0.0105232370429935,Yes,No
10,0.3991221935954,0.00480290827044707,No,No
